group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
d01p02,,,,,1892459.0,ns,2
d01p02,,,,,3782269.0,ns,4
d01p02,,,,,5723390.0,ns,6
d01p02,,,,,7565636.0,ns,8
d01p02,,,,,9502456.0,ns,10
d01p02,,,,,11358301.0,ns,12
d01p02,,,,,13296722.0,ns,14
d01p02,,,,,15174625.0,ns,16
d01p02,,,,,17065810.0,ns,18
d01p02,,,,,18947182.0,ns,20
d01p02,,,,,20901232.0,ns,22
d01p02,,,,,22774698.0,ns,24
d01p02,,,,,24636678.0,ns,26
d01p02,,,,,26529942.0,ns,28
d01p02,,,,,28431086.0,ns,30
d01p02,,,,,30327602.0,ns,32
d01p02,,,,,32204994.0,ns,34
d01p02,,,,,34085424.0,ns,36
d01p02,,,,,36000426.0,ns,38
d01p02,,,,,37858180.0,ns,40
d01p02,,,,,39749804.0,ns,42
d01p02,,,,,41675671.0,ns,44
d01p02,,,,,43546378.0,ns,46
d01p02,,,,,45559848.0,ns,48
d01p02,,,,,47309025.0,ns,50
d01p02,,,,,49141596.0,ns,52
d01p02,,,,,51029396.0,ns,54
d01p02,,,,,52973641.0,ns,56
d01p02,,,,,55046730.0,ns,58
d01p02,,,,,56787756.0,ns,60
d01p02,,,,,58664036.0,ns,62
d01p02,,,,,60549483.0,ns,64
d01p02,,,,,62535331.0,ns,66
d01p02,,,,,64443493.0,ns,68
d01p02,,,,,66323212.0,ns,70
d01p02,,,,,68221255.0,ns,72
d01p02,,,,,70092703.0,ns,74
d01p02,,,,,72233024.0,ns,76
d01p02,,,,,73872303.0,ns,78
d01p02,,,,,75841091.0,ns,80
d01p02,,,,,77597952.0,ns,82
d01p02,,,,,79116985.0,ns,84
d01p02,,,,,80364950.0,ns,86
d01p02,,,,,82717093.0,ns,88
d01p02,,,,,85092455.0,ns,90
d01p02,,,,,87244950.0,ns,92
d01p02,,,,,89049582.0,ns,94
d01p02,,,,,91781162.0,ns,96
d01p02,,,,,92835079.0,ns,98
d01p02,,,,,94894050.0,ns,100
d01p02,,,,,96702563.0,ns,102
d01p02,,,,,98587353.0,ns,104
d01p02,,,,,100037544.0,ns,106
d01p02,,,,,102191573.0,ns,108
d01p02,,,,,104035569.0,ns,110
d01p02,,,,,105788940.0,ns,112
d01p02,,,,,107783111.0,ns,114
d01p02,,,,,109530431.0,ns,116
d01p02,,,,,111686083.0,ns,118
d01p02,,,,,114136406.0,ns,120
d01p02,,,,,116435017.0,ns,122
d01p02,,,,,117214009.0,ns,124
d01p02,,,,,119140610.0,ns,126
d01p02,,,,,121306096.0,ns,128
d01p02,,,,,123227302.0,ns,130
d01p02,,,,,125426765.0,ns,132
d01p02,,,,,127218023.0,ns,134
d01p02,,,,,129713402.0,ns,136
d01p02,,,,,130977572.0,ns,138
d01p02,,,,,133079794.0,ns,140
d01p02,,,,,135039932.0,ns,142
d01p02,,,,,136438405.0,ns,144
d01p02,,,,,138471701.0,ns,146
d01p02,,,,,140857853.0,ns,148
d01p02,,,,,143061264.0,ns,150
d01p02,,,,,144856256.0,ns,152
d01p02,,,,,145890407.0,ns,154
d01p02,,,,,147863160.0,ns,156
d01p02,,,,,149715602.0,ns,158
d01p02,,,,,152604764.0,ns,160
d01p02,,,,,155260461.0,ns,162
d01p02,,,,,157111910.0,ns,164
d01p02,,,,,159115125.0,ns,166
d01p02,,,,,160350255.0,ns,168
d01p02,,,,,161834985.0,ns,170
d01p02,,,,,164629508.0,ns,172
d01p02,,,,,167060815.0,ns,174
d01p02,,,,,170648477.0,ns,176
d01p02,,,,,171926102.0,ns,178
d01p02,,,,,172141528.0,ns,180
d01p02,,,,,174423482.0,ns,182
d01p02,,,,,178050200.0,ns,184
d01p02,,,,,180487732.0,ns,186
d01p02,,,,,181495879.0,ns,188
d01p02,,,,,183202008.0,ns,190
d01p02,,,,,184499758.0,ns,192
d01p02,,,,,186241906.0,ns,194
d01p02,,,,,189324477.0,ns,196
d01p02,,,,,191288053.0,ns,198
d01p02,,,,,193399195.0,ns,200
